Country,Average Number of Stations,Average Number of Lines,Average System Length,Average Station Density
China,105.3,5.13333333333333,179.276666666667,0.653205538980997
Germany,103.25,6,98.75,1.07215128406531
India,34.4545454545455,1.90909090909091,40.3190909090909,0.865148862430087
Japan,39.3636363636364,2.90909090909091,44.4272727272727,0.964540727156593
United States,41.7857142857143,3,69.5,0.672963528766562
